FractureX[m],FractureY[m],FractureZ[m],FractureRadius[m],Area[m2],Trend[deg],Plunge[deg],Strike[deg],Dip_Angle[deg],Aperture[m],Permeability[m2],Compressibility[1/kPa]
335623.6,4263181.5,-793.0,148.5,69279.2,113.7,0.8,23.7,89.2,0.0002,3.33E-09,5.00E-06
335632.4,4263270.8,-838.0,74.3,17343.1,86.9,3.1,176.9,86.9,0.0002,3.33E-09,5.00E-06
335770.6,4263174.2,-965.8,55.0,9503.3,61.4,57.3,151.4,32.7,0.0002,3.33E-09,5.00E-06
335779.0,4263145.5,-998.6,88.5,24605.8,241.8,57.9,151.8,32.1,0.0002,3.33E-09,5.00E-06
335757.0,4263111.0,-706.0,60.0,11309.8,1.5,13.5,91.5,76.5,0.0002,3.33E-09,5.00E-06
335730.3,4263134.4,-907.5,25.0,1963.5,115.9,0.0,25.9,90.0,0.0002,3.33E-09,5.00E-06
335752.7,4263122.6,-865.1,59.5,11122.0,78.3,38.2,168.3,51.8,0.0002,3.33E-09,5.00E-06
335779.4,4263134.9,-1012.9,54.4,9297.1,85.5,50.4,175.5,39.6,0.0002,3.33E-09,5.00E-06
335837.8,4263133.3,-810.4,75.0,17671.4,82.3,48.9,172.3,41.1,0.0002,3.33E-09,5.00E-06
335787.9,4263145.8,-848.0,110.0,38013.3,266.1,16.4,176.1,73.6,0.0002,3.33E-09,5.00E-06
335718.9,4263126.5,-878.5,51.5,8332.3,103.6,71.4,13.6,18.6,0.0002,3.33E-09,5.00E-06
335728.4,4263152.0,-847.7,61.2,11766.6,80.9,75.6,170.9,14.4,0.0002,3.33E-09,5.00E-06
335740.1,4263154.4,-814.0,54.4,9297.1,84.9,41.0,174.9,49.0,0.0002,3.33E-09,5.00E-06
335726.8,4263117.6,-691.4,41.9,5515.4,72.6,58.8,162.6,31.2,0.0002,3.33E-09,5.00E-06
335732.2,4263106.5,-716.7,59.3,11047.4,75.0,58.3,165.0,31.7,0.0002,3.33E-09,5.00E-06
