x_m,y_m,z_m,depth_m,azn_deg,dip_deg,app_m,type
0.00,0.00,0.00,7.32,251.54,66.54,0,2
5.278188237,4.802029753,-1.882986772,7.38,256.38,58.77,0,2
5.306796304,4.828057015,-1.893192662,7.42,261.96,67.58,0,2
5.349708403,4.867097907,-1.908501498,7.48,254.12,65.24,0,2
5.392620503,4.906138799,-1.923810333,7.54,258.38,58.26,0,2
5.428380585,4.938672876,-1.936567696,7.59,259.44,61.89,0,2
5.449836635,4.958193322,-1.944222114,7.62,252.63,63.77,0,2
5.564268901,5.062302368,-1.985045676,7.78,147.98,21.17,0,2
5.600028983,5.094836445,-1.997803038,7.83,205.98,67.58,0,2
5.735917298,5.218465938,-2.046281018,8.02,169.84,19.01,0,2
5.735917298,5.218465938,-2.046281018,8.02,84.18,84.07,0,2
5.771677381,5.251000015,-2.059038381,8.07,259.75,58.5,0,2
5.843197547,5.316068168,-2.084553107,8.17,223.04,72.63,0,2
6.014845945,5.472231738,-2.145788449,8.41,186.24,23.54,0,2
6.021997962,5.478738553,-2.148339921,8.42,177.57,31.61,0,2
6.029149978,5.485245368,-2.150891394,8.43,259.25,75.13,0,2
6.057758045,5.51127263,-2.161097284,8.47,6.74,58.49,0,2
6.086366111,5.537299891,-2.171303175,8.51,45.79,47.2,0,2
6.207950393,5.647915753,-2.214678209,8.68,254.89,68.18,0,2
6.222254426,5.660929384,-2.219781154,8.7,263.59,68.67,0,2
6.415358874,5.836613399,-2.288670914,8.97,243.65,84.28,0,2
6.501183073,5.914695184,-2.319288585,9.09,59.98,36.9,0,2
6.508335089,5.921201999,-2.321840057,9.1,147.18,30.34,0,2
6.71574357,6.109899645,-2.395832763,9.39,130.5,32.34,0,2
6.744351636,6.135926907,-2.406038653,9.43,192.02,42.65,0,1
6.908848018,6.28558366,-2.464722523,9.66,207.51,73.05,0,-1
6.980368184,6.350651814,-2.490237248,9.76,120.89,19.39,0,2
7.023280283,6.389692707,-2.505546084,9.82,345.79,75.65,0,2
7.187776665,6.53934946,-2.564229954,10.05,231.84,29.65,0,2
7.28075288,6.62393806,-2.597399097,10.18,230.04,54.34,0,2
7.366577079,6.702019845,-2.628016768,10.3,190.28,42.25,0,2
7.55252951,6.871197045,-2.694355056,10.56,160.95,18.38,0,2
7.645505726,6.955785645,-2.727524199,10.69,245.72,86.6,0,-1
7.745633958,7.04688106,-2.763244816,10.83,218.81,10.35,0,2
7.967346472,7.248592337,-2.842340466,11.14,198.15,35.51,0,2
8.031714621,7.307153676,-2.865303719,11.23,222.48,67.55,0,2
8.131842853,7.398249091,-2.901024336,11.37,224.38,65.93,0,1
8.146146886,7.411262722,-2.906127281,11.39,175.39,24.84,0,2
8.253427135,7.508864953,-2.94439937,11.54,216.89,61.51,0,1
8.260579152,7.515371768,-2.946950842,11.55,229.45,73.53,0,1
8.267731168,7.521878583,-2.949502315,11.56,168.78,35.07,0,2
8.282035202,7.534892214,-2.95460526,11.58,232.66,88.8,0,1
8.367859401,7.612973999,-2.985222931,11.7,48.67,72.16,0,2
8.375011417,7.619480814,-2.987774404,11.71,138.05,36.37,0,2
8.382163434,7.62598763,-2.990325876,11.72,183.84,35.34,0,2
9.440661888,8.588996306,-3.36794382,13.2,85.55,80.54,0,1
9.454965921,8.602009937,-3.373046765,13.22,346.73,63.08,0,2
9.476421971,8.621530383,-3.380701183,13.25,262.08,65.98,0,2
9.505030037,8.647557645,-3.390907073,13.29,347.82,69.04,0,2
9.51933407,8.660571275,-3.396010018,13.31,257.98,71.2,0,2
9.626614319,8.758173506,-3.434282107,13.46,256.57,69.81,0,2
9.633766335,8.764680322,-3.43683358,13.47,220.28,61.24,0,2
9.698134485,8.82324166,-3.459796833,13.56,222.42,57.71,0,2
10.25599178,9.33077326,-3.658811695,14.34,212.11,46.3,0,1
10.35612001,9.421868675,-3.694532311,14.48,207.83,37.09,0,2
10.39903211,9.460909568,-3.709841147,14.54,213.46,38.61,0,2
10.59928857,9.643100398,-3.781282379,14.82,252.32,59.03,0,2
10.67080874,9.708168552,-3.806797105,14.92,204.08,30.69,0,2
10.68511277,9.721182183,-3.81190005,14.94,248.57,42.65,0,2
10.77093697,9.799263968,-3.842517721,15.06,73.37,76.25,0,1
10.77808899,9.805770783,-3.845069194,15.07,60.5,78.85,0,1
10.8281531,9.851318491,-3.862929502,15.14,255.4,45.34,0,2
10.9139773,9.929400275,-3.893547173,15.26,250.61,58.1,0,3
10.94973739,9.961934352,-3.906304536,15.31,224.82,30.31,0,2
10.9998015,10.00748206,-3.924164844,15.38,251.47,50.63,0,3
11.05701764,10.05953658,-3.944576625,15.46,246.66,44.32,0,3
11.11423377,10.11159111,-3.964988406,15.54,241.05,39.5,0,2
11.14999385,10.14412518,-3.977745769,15.59,237.47,31.43,0,2
